Pedidos Ingresados,Proporcion Llamadas Perdidas,Proporcion Pedidos Tardíos,Proporcion Tardíos Normal,Proporcion Tardíos Premium,Tiempo Medio para Procesar un Pedido (min),Tiempo Medio para Procesar un Pedido Normal (min),Tiempo Medio para Procesar un Pedido Premium (min),Utilidad
920,0.017094017094017096,0.021739130434782608,0.02531645569620253,0.0,29.36380277273402,29.697913797000606,27.333435779114012,5051800.0
897,0.025,0.13600891861761427,0.16201859229747675,0.0,38.53014267371039,40.555443617887526,27.93950648645077,3232100.0
927,0.011727078891257996,0.015102481121898598,0.017743979721166033,0.0,29.510141343542166,29.884703681245075,27.368621891023373,5225100.0
919,0.015005359056806002,0.07399347116430903,0.08706786171574904,0.0,32.01349367611325,32.89770891830783,27.00934799383815,4090700.0
915,0.011879049676025918,0.14863387978142076,0.17548387096774193,0.0,39.615458561238356,41.6633263606378,28.27904752884862,3343100.0
943,0.018730489073881373,0.10498409331919406,0.12421580928481807,0.0,37.00495588813896,38.4729279168035,28.99143734810031,4281300.0
876,0.014623172103487065,0.04908675799086758,0.05771812080536913,0.0,31.784384140652314,32.29278922744405,28.893072769203137,4589500.0
982,0.01603206412825651,0.04073319755600815,0.04678362573099415,0.0,31.27995343764943,31.709083728859284,28.390926673992524,5187500.0
918,0.013963480128893663,0.044662309368191724,0.05222929936305733,0.0,30.979642360664986,31.353752482017686,28.771548787267463,4847500.0
894,0.014332965821389196,0.030201342281879196,0.03474903474903475,0.0,30.70884334413782,31.11434303399381,28.015909506376225,4454600.0
872,0.00909090909090909,0.08944954128440367,0.106703146374829,0.0,33.283841614362494,34.24517620935231,28.29990126728764,3927800.0
914,0.016146393972012917,0.08643326039387308,0.09949622166246852,0.0,33.63168388769762,34.34375303920307,28.920159668569895,4238700.0
908,0.015184381778741865,0.05616740088105727,0.06513409961685823,0.0,32.44656577814422,33.11383714830679,28.26677791544586,4630800.0
888,0.013333333333333334,0.08783783783783784,0.10349462365591398,0.006944444444444444,32.99547610542732,33.78496571352013,28.916446463614463,3613800.0
884,0.011185682326621925,0.09615384615384616,0.11378848728246319,0.0,34.11121753815232,35.11398108971825,28.643594377424193,4076700.0
887,0.008938547486033519,0.08117249154453213,0.09448818897637795,0.0,32.618488327397145,33.3189914046464,28.348221568485723,3647400.0
853,0.006984866123399301,0.053927315357561546,0.06524822695035461,0.0,31.093333679753812,31.866264798091787,27.411465852535734,4241800.0
891,0.011098779134295227,0.20426487093153758,0.2340702210663199,0.01639344262295082,55.46453077195075,59.44602410161064,30.368068718602775,2510100.0
948,0.011470281543274244,0.010548523206751054,0.01221001221001221,0.0,29.866453835227286,30.13470559267054,28.163367096110786,5552700.0
840,0.01639344262295082,0.034523809523809526,0.03961748633879782,0.0,29.460353016121008,29.709331497933228,27.772832194949295,3760600.0
918,0.01607717041800643,0.06100217864923747,0.07061790668348046,0.0,32.466427216187995,33.069205969648124,28.642398804236954,4294200.0
913,0.009761388286334056,0.0208105147864184,0.023989898989898988,0.0,28.95550261083071,29.254448817887443,26.998763801004788,4982100.0
878,0.025527192008879023,0.04441913439635535,0.05131578947368421,0.0,30.60166107305907,31.119744403502786,27.264853182065647,3983600.0
905,0.01843817787418655,0.08950276243093923,0.10505836575875487,0.0,36.345666990764045,37.860417266089556,27.630200854376206,4013000.0
849,0.013937282229965157,0.0447585394581861,0.05212620027434842,0.0,30.86249170248931,31.307657123973073,28.158111766975473,3684500.0
871,0.011350737797956867,0.07692307692307693,0.09140518417462483,0.0,32.09387803067227,32.904824718353254,27.78645830552623,3957200.0
953,0.012435233160621761,0.08184679958027283,0.09408926417370325,0.0,33.6812062866682,34.56601989217917,27.765799198211873,4641300.0
901,0.017448200654307525,0.021087680355160933,0.024739583333333332,0.0,30.971046951033518,31.57526338110378,27.482037790928572,4730700.0
934,0.013727560718057022,0.011777301927194861,0.0136986301369863,0.0,29.90252589025988,30.2698039928185,27.6511952310647,4892900.0
939,0.00949367088607595,0.09478168264110756,0.11097256857855362,0.0,36.01296321607927,37.18615498464496,29.1450814760086,4054000.0
940,0.008438818565400843,0.08191489361702127,0.09948320413436693,0.0,33.201190939861114,34.18003217526884,28.63719626392389,4497400.0
884,0.018867924528301886,0.08597285067873303,0.10106382978723404,0.0,33.85602284188594,34.84077821170475,28.245901341099973,3658800.0
917,0.016094420600858368,0.0970556161395856,0.11558441558441558,0.0,35.45473175795723,36.863625297162834,28.074813219261166,4135200.0
986,0.01890547263681592,0.24442190669371197,0.29036144578313255,0.0,54.16931079544969,58.847298581983054,29.280016802996563,2361000.0
924,0.01597444089456869,0.11688311688311688,0.14154652686762778,0.0,36.368734065095396,37.88860063855761,29.165888129991835,3939400.0
902,0.010964912280701754,0.0066518847006651885,0.0078125,0.0,29.46289242442721,29.664941915858794,28.304877428759596,5279600.0
878,0.010146561443066516,0.015945330296127564,0.01904761904761905,0.0,30.15329545816902,30.415658242769112,28.804787439420274,4660600.0
840,0.01060070671378092,0.0035714285714285713,0.004178272980501393,0.0,28.23274778772227,28.41889164873877,27.137245392559567,4518700.0
900,0.0196078431372549,0.1288888888888889,0.14890885750962773,0.0,35.20841002865807,36.256594799543855,28.4601791483273,3172700.0
946,0.016632016632016633,0.10676532769556026,0.12438423645320197,0.0,34.87173383041518,35.976767423595795,28.175560116514745,4404300.0
912,0.02040816326530612,0.18969298245614036,0.22673656618610746,0.0,43.00376992430605,45.76923758374736,28.842348285690434,2719300.0
861,0.008064516129032258,0.009291521486643438,0.010854816824966078,0.0,29.293753515254128,29.470479841632272,28.243372043151744,5196200.0
889,0.015503875968992248,0.02249718785151856,0.025906735751295335,0.0,29.915690071638153,30.29273171032333,27.427859771937648,4509900.0
903,0.012035010940919038,0.09856035437430787,0.11284046692607004,0.015151515151515152,34.166101230858395,34.81744487948454,30.361662192292044,3736600.0
945,0.018691588785046728,0.1523809523809524,0.1797752808988764,0.0,39.3045721039424,41.09318490949212,29.355413373072054,3775600.0
865,0.008027522935779817,0.05317919075144509,0.06174496644295302,0.0,31.534290385556982,32.05721165141471,28.28782086002355,4131300.0
826,0.010778443113772455,0.02784503631961259,0.033576642335766425,0.0,32.1081380248162,32.85158372417108,28.496362818730432,3946700.0
860,0.014891179839633447,0.03488372093023256,0.03963011889035667,0.0,30.403407294210815,30.64391598443245,28.63578517287316,4210200.0
950,0.008350730688935281,0.028421052631578948,0.03272727272727273,0.0,30.59524271924405,30.918670562255596,28.46061895536787,5261600.0
865,0.017045454545454544,0.14566473988439307,0.17027027027027028,0.0,37.46232055642943,39.02445675946655,28.214474234449682,3303400.0
926,0.014893617021276596,0.0755939524838013,0.08578745198463508,0.020689655172413793,33.206573153608,33.85084166803747,29.736409637956804,4200400.0
894,0.0208105147864184,0.2181208053691275,0.25866666666666666,0.006944444444444444,52.09634669666744,56.59159392834646,28.683600698339294,2113600.0
902,0.016357688113413305,0.058758314855875834,0.06803594351732992,0.0,31.44243663964909,31.89485336982159,28.577130681889923,4236300.0
895,0.01864035087719298,0.10502793296089385,0.12634408602150538,0.0,34.08213695493171,35.31394231041806,28.01284434246918,3790100.0
885,0.010067114093959731,0.09943502824858758,0.1164021164021164,0.0,36.95659598774501,38.259966097672475,29.3182409249143,3855600.0
911,0.010857763300760043,0.18441273326015367,0.20463320463320464,0.06716417910447761,42.67816232076926,44.5845942060505,31.623702806862422,2969800.0
890,0.016574585635359115,0.0011235955056179776,0.0013192612137203166,0.0,27.96835825737034,28.03370567859343,27.593105641558964,4840500.0
914,0.010822510822510822,0.0700218818380744,0.08344198174706649,0.0,32.1340227545517,32.85708526561228,28.36130883629686,4288100.0
933,0.009554140127388535,0.1232583065380493,0.14540816326530612,0.006711409395973154,37.1752282224235,38.661576238744836,29.354444029162185,3927300.0
906,0.014145810663764961,0.0011037527593818985,0.0012987012987012987,0.0,28.12110418723606,28.297630047161434,27.121656303835,5144900.0
923,0.018085106382978722,0.027085590465872156,0.03238341968911917,0.0,30.396873707990157,30.755776959837913,28.561951122384407,5018900.0
880,0.009009009009009009,0.028409090909090908,0.03346720214190094,0.0,29.815995524861112,30.280050492873425,27.20961160677692,4476200.0
886,0.024229074889867842,0.07787810383747178,0.09018567639257294,0.007575757575757576,34.306619654829596,35.26012911431402,28.86005804535041,4010000.0
883,0.007865168539325843,0.02944507361268403,0.03306878306878307,0.007874015748031496,30.960149670402206,31.333442632910927,28.7380277833424,4722800.0
893,0.013259668508287293,0.0022396416573348264,0.0026845637583892616,0.0,28.940346711263736,29.128868500518163,27.991368785624925,5169500.0
918,0.011840688912809472,0.016339869281045753,0.019430051813471502,0.0,30.09678368703034,30.443470091625368,28.26361995862372,5278600.0
956,0.015447991761071062,0.1600418410041841,0.18500604594921402,0.0,39.342050617957504,41.07672729128448,28.221293960272146,3783100.0
877,0.016816143497757848,0.07981755986316989,0.09174311926605505,0.0,32.978126678764326,33.726027380517976,27.972440402992063,3698200.0
893,0.01434878587196468,0.027995520716685332,0.03346720214190094,0.0,29.87184508783335,30.3100634531835,27.62972783498021,4439300.0
924,0.014925373134328358,0.17207792207792208,0.19899874843554444,0.0,40.51270133448451,42.42866375516669,28.2658695414841,3024700.0
960,0.012345679012345678,0.07083333333333333,0.0832313341493268,0.0,32.8620446214976,33.43453124949824,29.591264376207217,4831300.0
946,0.009424083769633508,0.022198731501057084,0.026151930261519303,0.0,29.850086522403394,30.19030343265227,27.93963771869816,5493900.0
893,0.01434878587196468,0.13325867861142218,0.1559633027522936,0.0,39.063542598901456,40.676808762327596,29.594911193561888,3228000.0
907,0.010905125408942203,0.1422271223814774,0.1558109833971903,0.056451612903225805,41.11393007242304,42.77300981176686,30.637644298985773,3063200.0
862,0.0057670126874279125,0.024361948955916472,0.028187919463087248,0.0,29.26313326243164,29.506616548280235,27.712748237156408,4414700.0
977,0.023976023976023976,0.10542476970317298,0.12350119904076738,0.0,37.65368742479865,39.420442851041635,27.349673260556326,4312800.0
854,0.008130081300813009,0.01288056206088993,0.015363128491620111,0.0,28.277871520527178,28.26508993177992,28.34418758967961,4340200.0
882,0.010101010101010102,0.003401360544217687,0.004021447721179625,0.0,28.049514768041064,28.07089072632948,27.93226134978254,4977900.0
882,0.015625,0.09977324263038549,0.11533420707732635,0.0,33.6919147040493,34.70738240267496,27.180974754037756,3355300.0
942,0.011542497376705142,0.016985138004246284,0.019851116625310174,0.0,29.455820527776616,29.774213372968443,27.568874695242712,5319300.0
939,0.00949367088607595,0.14696485623003194,0.16932515337423312,0.0,36.98232853892223,38.243240765559335,28.694881242879948,3396900.0
858,0.005793742757821553,0.08624708624708624,0.1012311901504788,0.0,32.769213103752044,33.57125860978121,28.15271495487552,3699600.0
859,0.004634994206257242,0.017462165308498253,0.02054794520547945,0.0,28.731483921067227,28.97876137458529,27.33216189728284,4317300.0
930,0.012738853503184714,0.1064516129032258,0.12563451776649745,0.0,34.88791315174898,35.973741820081386,28.862328710580456,4118600.0
905,0.016304347826086956,0.1292817679558011,0.15135834411384216,0.0,40.91706463395639,42.951684644412154,29.00220654242377,3391500.0
907,0.010905125408942203,0.1730981256890849,0.2038961038961039,0.0,42.94367339566449,45.45614688841856,28.822472013032108,2856100.0
954,0.015479876160990712,0.149895178197065,0.1794228356336261,0.0,42.23397890560843,44.859847322662965,28.903933501834725,3797400.0
863,0.010321100917431193,0.0440324449594438,0.05198358413132695,0.0,30.992938582564616,31.3641375719498,28.937283573166372,4158700.0
859,0.020524515393386546,0.05820721769499418,0.06830601092896176,0.0,31.607849642659662,32.31041868633113,27.558396572049315,3658100.0
932,0.016877637130801686,0.06974248927038626,0.08020050125313283,0.007462686567164179,33.86699719002838,34.593845824265735,29.538450845838746,4468000.0
921,0.019169329073482427,0.053203040173724216,0.06132665832290363,0.0,30.921437085871247,31.32505000618114,28.278103288104003,4576400.0
887,0.017718715393133997,0.15107102593010147,0.17813765182186234,0.0136986301369863,43.73097172103297,46.44950281374188,29.93349542173639,3367500.0
895,0.007760532150776054,0.06256983240223464,0.07282184655396619,0.0,31.849027358476253,32.480525106591195,27.994886340219168,4239000.0
885,0.017758046614872364,0.12655367231638417,0.14933333333333335,0.0,37.65566064797713,39.237291117497584,28.868824706196865,3390000.0
876,0.014623172103487065,0.11529680365296803,0.13430851063829788,0.0,34.185658688735415,35.20231410823871,28.02013549948966,3381400.0
913,0.011904761904761904,0.10405257393209201,0.12132822477650064,0.0,36.478637012434774,37.74773441902506,28.834765709664058,3609900.0
930,0.012738853503184714,0.09247311827956989,0.10899873257287707,0.0,35.53448433097276,36.80683003270109,28.41476263832274,4182300.0
862,0.011467889908256881,0.06844547563805105,0.0811554332874828,0.0,31.73730339328278,32.54739529121242,27.374808505913528,3777400.0
933,0.009554140127388535,0.03429796355841372,0.041237113402061855,0.0,30.087460479270504,30.631735797656727,27.397284383297826,5183500.0
875,0.012415349887133182,0.010285714285714285,0.012244897959183673,0.0,29.311079580566147,29.687427023597287,27.335255504652668,4590300.0
965,0.012282497441146366,0.16062176165803108,0.18849449204406366,0.006756756756756757,42.40597731098394,44.67473634514754,29.881814264283523,3512400.0
856,0.019473081328751432,0.0911214953271028,0.10743801652892562,0.0,32.94326774660216,33.61457009991773,29.19430229654753,3582200.0
906,0.0087527352297593,0.05739514348785872,0.06557377049180328,0.0,32.33627569433488,32.86505162077283,28.62548534331458,4474500.0
932,0.02612330198537095,0.0611587982832618,0.07233502538071065,0.0,32.30905989173722,32.85760631572504,29.307291960470486,4374500.0
879,0.020066889632107024,0.040955631399317405,0.04951856946354883,0.0,30.960868076990653,31.551952837685572,28.133771886035362,4331800.0
911,0.009782608695652175,0.020856201975850714,0.024967148488830485,0.0,29.253458362433605,29.557312865082775,27.71190318566017,4872800.0
936,0.012658227848101266,0.1282051282051282,0.15645371577574968,0.0,38.606428853613046,40.672815281197956,29.22821352841992,3693500.0
888,0.012235817575083427,0.1204954954954955,0.14597544338335608,0.0,38.020598682559566,40.094349182528646,28.213765673028394,3406100.0
874,0.014656144306651634,0.028604118993135013,0.03382949932341001,0.0,30.270104758409147,30.69578460232275,27.939901760985826,4330300.0
910,0.013015184381778741,0.0978021978021978,0.11483870967741935,0.0,33.21698293468727,33.99763943372818,28.735436366119064,3987800.0
905,0.009846827133479213,0.14696132596685083,0.17454068241469817,0.0,41.398174466930556,43.60448928152373,29.641447972385112,3213500.0
816,0.013301088270858524,0.0392156862745098,0.04539007092198582,0.0,29.19849032057037,29.474968827500067,27.442478181962812,3775600.0
907,0.007658643326039387,0.06945975744211687,0.08160621761658031,0.0,32.013793142535775,32.67625211724913,28.225509227878664,4448400.0
961,0.022380467955239063,0.09469302809573361,0.10948905109489052,0.007194244604316547,35.007927684646866,36.14197789256086,28.301530052234646,4140200.0
910,0.016216216216216217,0.08901098901098901,0.10358056265984655,0.0,34.081107948848505,35.046662542568086,28.182172852842932,3848400.0
869,0.01362088535754824,0.07249712313003452,0.0863013698630137,0.0,32.85249958315024,33.810998354220345,27.8186571163792,4145500.0
953,0.014477766287487074,0.19097586568730326,0.22276621787025705,0.0,46.2054664905867,48.97601675048086,29.561793238134243,2986400.0
948,0.021671826625386997,0.017932489451476793,0.02096177558569667,0.0,30.58396317988907,31.046991242997358,27.842972236963362,5448500.0
909,0.011956521739130435,0.07920792079207921,0.09302325581395349,0.0,34.56238208146249,35.587981889359064,28.682276516188814,4373700.0
877,0.011273957158962795,0.13340935005701254,0.15846994535519127,0.006896551724137931,37.42006278754072,39.1512273076273,28.680666727517465,3348500.0
871,0.013590033975084938,0.003444316877152698,0.002677376171352075,0.008064516129032258,27.757491971447998,27.776819309031787,27.641060349068223,4696500.0
821,0.013221153846153846,0.09013398294762484,0.10834553440702782,0.0,35.35840237255185,36.68112301234162,28.81189369880973,3376500.0
888,0.006711409395973154,0.06981981981981981,0.08222811671087533,0.0,31.967530361569757,32.59203370433151,28.453533940358096,4283600.0
