Pedidos Ingresados,Proporcion Llamadas Perdidas,Proporcion Pedidos Tardíos,Proporcion Tardíos Normal,Proporcion Tardíos Premium,Tiempo Medio para Procesar un Pedido (min),Tiempo Medio para Procesar un Pedido Normal (min),Tiempo Medio para Procesar un Pedido Premium (min),Utilidad
852,0.016166281755196306,0.004694835680751174,0.005471956224350205,0.0,27.6746384904621,27.571817698062805,28.295812037932254,4330500.0
938,0.011591148577449948,0.10341151385927505,0.12004950495049505,0.0,34.50602526327635,35.505367499329296,28.294728903808792,3600300.0
882,0.017817371937639197,0.005668934240362812,0.00648508430609598,0.0,28.800523494740332,28.99320004311956,27.46220260464676,4592600.0
890,0.013303769401330377,0.0033707865168539327,0.00398406374501992,0.0,27.822510769892066,27.832471958841193,27.767760585376035,4740400.0
922,0.011789924973204717,0.0911062906724512,0.10353535353535354,0.015384615384615385,34.63844918530318,35.62722678623447,28.614511801167964,3609400.0
897,0.013201320132013201,0.0802675585284281,0.09067357512953368,0.016,32.29635510074649,32.91191890665297,28.494633035468038,3438800.0
893,0.013259668508287293,0.04591265397536394,0.05481283422459893,0.0,31.08166945671807,31.64809659658882,28.159686693798616,4410700.0
887,0.018805309734513276,0.043968432919954906,0.052702702702702706,0.0,30.75720263166186,31.337339398292936,27.836786255423785,3763600.0
927,0.012779552715654952,0.08845738942826321,0.1028858218318695,0.0,35.63529359556583,36.81081897620552,28.42841876195173,3734500.0
940,0.017763845350052248,0.035106382978723406,0.04064039408866995,0.0,31.47830457844141,32.157348564762835,27.17061929021488,4598000.0
933,0.01685985247629083,0.055734190782422297,0.06423173803526448,0.007194244604316547,31.146731331224537,31.517955910557717,29.02621107229975,4356000.0
896,0.005549389567147614,0.04575892857142857,0.05283505154639175,0.0,31.212273835369267,31.68543891865477,28.152472963456333,3985800.0
897,0.017524644030668127,0.05351170568561873,0.06217616580310881,0.0,31.48913263048656,32.08467223953079,27.811080005029385,3733700.0
911,0.017259978425026967,0.09220636663007684,0.1056701030927835,0.014814814814814815,35.239099281100664,36.28594678312787,29.22166475092948,3606000.0
900,0.013157894736842105,0.0044444444444444444,0.005235602094240838,0.0,29.446877113755633,29.71381772643335,27.947298966066093,4965800.0
855,0.012702078521939953,0.05730994152046784,0.06577181208053691,0.0,30.7543164724742,31.263810860328867,27.303649936549412,3529600.0
888,0.01878453038674033,0.08896396396396396,0.10469798657718121,0.006993006993006993,34.47131575174617,35.59806031741911,28.601212944568957,3252000.0
960,0.010309278350515464,0.029166666666666667,0.0345252774352651,0.0,30.186253765792777,30.639087322673596,27.721501989750188,4974600.0
921,0.010741138560687433,0.009771986970684038,0.011936339522546418,0.0,30.1735893686111,30.632906345235195,28.099786971158576,5322500.0
929,0.006417112299465241,0.08396124865446716,0.09762202753441802,0.0,33.7873997575836,34.726402995443614,28.016141395659368,3800100.0
913,0.012972972972972972,0.03285870755750274,0.0395778364116095,0.0,30.35094548623254,30.787438239072905,28.216355120729315,4655700.0
881,0.01122334455667789,0.0510783200908059,0.06064690026954178,0.0,32.54105802550434,33.40408239112126,27.934122203290297,3975000.0
873,0.012443438914027148,0.049255441008018326,0.05890603085553997,0.00625,32.03861750806204,32.81539868132028,28.57708640473003,4398700.0
941,0.017745302713987474,0.08289054197662062,0.0982367758186398,0.0,34.44011293924205,35.54754116818353,28.458493797884646,4121300.0
921,0.014973262032085561,0.1237785016286645,0.14690721649484537,0.0,38.38589560117445,40.131726460790965,29.04269044901985,3158700.0
921,0.022292993630573247,0.1791530944625407,0.21181001283697048,0.0,48.159118835478274,51.71790028617958,28.63594453902531,1996700.0
866,0.01141552511415525,0.06581986143187067,0.07516778523489932,0.008264462809917356,33.09481381735595,33.73491363468896,29.153703371793227,3598300.0
